Semiannual Return,2008Q2,2008Q4,2009Q2,2009Q4,2010Q2,2010Q4,2011Q2,2011Q4,2012Q2,2012Q4,2013Q2,2013Q4,2014Q2,2014Q4,2015Q2,2015Q4,2016Q2,2016Q4,2017Q2,2017Q4,2018Q2
Weight Scheme 1,-27.939297737152884,-36.55000569579201,14.002775360880584,49.898352357890516,-2.7167912914113077,23.10421813451049,-6.235696256767257,-23.637832568006534,13.9787595259348,25.354310094580473,-0.7185426386352534,13.840341207877424,-2.574316889384139,-4.253939557068175,14.881756942062244,-16.708890574148697,-6.69892832352955,8.891987355592203,25.503654805729308,27.584843115156826,-0.5165907889724264
Weight Scheme 2,-27.28093134743521,-31.9598932606163,59.54322414580248,65.32448112450592,-2.7105070667328572,24.10916677388925,-5.085562652549811,-20.79839199051521,3.482591971351414,20.628215176708892,0.6521805266281949,15.054330156924465,-3.3987472817234856,-7.053133676164382,18.876184005519367,-16.57468399420232,-5.628248487277087,9.668724882215738,25.24706870609048,26.634800386409047,-5.32873258518489
