2008,Cumulative Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Max Drawdown (%)
Pure Market Trending,262.65700675585475,12.619411751061728,6.989131529960832,1.805576515045561,-3.662574863777731
Weight Scheme 1,128.5919336253482,8.281528212871018,8.241353434172199,1.0048747792483013,-4.773287197315137
Weight Scheme 2,152.7462861338732,9.307726396407395,8.958454226217226,1.0389879951797947,-4.267947019951979
Weight Optimized,147.65347979424863,9.065680984873964,8.41926621641456,1.0767780412025847,-4.75130529703302
HSCI,-3.6088081641637793,2.6444732959997452,24.492308695340366,0.10797158115612243,-11.485777657884492
