2015,Cumulative Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Max Drawdown (%)
Pure Market Trending,51.47185662175695,11.998119332137993,8.127115958260337,1.4763071418887779,-3.662574863777738
Weight Scheme 1,41.45691832969873,10.164603378706264,9.139417354919368,1.1121719234361347,-4.77328719731513
Weight Scheme 2,36.429628211316796,9.151765821114374,9.18753645549995,0.9961066130666438,-4.2679470199519915
Weight Optimized,34.99566676565515,8.821817079918102,8.819573457249332,1.0002543912899695,-4.751305297033012
HSCI,13.841075218108934,5.273783608958233,18.038984852468626,0.2923547889246395,-5.911562593367187
