Semiannual Return,2000Q2,2000Q4,2001Q2,2001Q4,2002Q2,2002Q4,2003Q2,2003Q4,2004Q2,2004Q4,2005Q2,2005Q4,2006Q2,2006Q4,2007Q2,2007Q4,2008Q2,2008Q4,2009Q2,2009Q4,2010Q2,2010Q4,2011Q2,2011Q4,2012Q2,2012Q4,2013Q2,2013Q4,2014Q2,2014Q4,2015Q2,2015Q4,2016Q2,2016Q4,2017Q2,2017Q4,2018Q2
Pure Market Timing,0.1143036462850403,0.47456234162192285,3.9476354156127798,0.853438190358683,4.603354238563106,-0.3209610444703418,3.9658353174919094,16.59187001558419,1.6565303006556658,8.03055461810039,1.7733270141722677,2.958213217508,8.898793709172544,11.031580934532007,20.295568645758756,10.150929016142818,-3.445213629183218,-0.27767443906864464,27.464526847319604,19.36178633433223,2.501733506641206,9.969050910020924,1.2175470151243095,-2.44651356234958,3.156277087297015,11.20143487702067,6.4405204150056905,8.446340425153744,3.874327515327218,6.760453655631543,17.670359341044136,-2.5827084822969937,0.5181138897373132,5.11528642531069,11.127346625889789,11.885508826708167,2.41853905557586
Weight Scheme 1 + Market Timing,0.0,0.0,0.0,0.0,0.0,0.0,3.5291767135064114,14.096429828975603,-1.0170647019213341,7.952173442447935,-0.9098511905243433,3.0203663184223206,18.204807411604815,16.198652264368977,19.148709207959346,25.48285319483824,-6.962704827905289,-1.525439378198468,1.5356523702788587,28.04370133913869,3.3484540654986357,11.753705465506718,-2.4764004322319333,-4.539869975252764,3.836360817043759,4.931911853909362,7.410614188307593,4.858492859345389,1.2193559931917388,1.5803514809697414,4.693177835355726,-6.133657610066014,-0.06078417042796278,6.196751996380624,17.73550744746344,13.820741434489744,4.08445816228486
Weight Scheme 2 + Market Timing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.915991210990775,-2.1731898425789518,9.200282887201544,-3.3422133181655016,2.303002712615282,28.442327721189915,13.876696624182081,18.611057876017675,19.317589333847753,-6.607681605550017,-1.0794039629746768,0.5189944959775895,53.74002860145383,2.458526787797063,11.916051400700619,-1.167088060777077,-3.841437569181157,-1.0916392226089002,3.6771025991240722,8.300424742005214,5.566752893496926,0.9952547321120341,0.5631631408338954,2.761601693395603,-5.7844131010818804,-0.40565602942277246,6.038388725233976,20.88216976087476,13.505077107067919,0.3687153022811965
Weight Optimized + Market Timing,0.0,0.0,-0.22282400495752228,-0.04955357142868836,0.0,0.0,5.67915632936845,15.881470189397708,-0.8102941943545747,11.087735730846488,-0.22191026277048817,2.368089712555839,16.101972025293982,17.839742809054574,45.25299981461801,23.09247050073617,-5.858935611861564,-2.787373087049255,2.950862633641797,34.20902423212942,4.339535747864633,11.618267404863513,-3.0320660777148523,-4.680984495274733,2.6453077166079626,6.309651797675551,11.71395865158563,4.434621529405283,2.2334730678326515,3.552931217477527,3.3214859418682727,-6.587881932517408,-0.8282526217805125,6.484811260552928,14.39203449180306,12.753330888280958,5.47299960055352
